500000 4000
19 391562 103
22 196104 123
32 303269 151
68 97137 9
75 143051 169
98 3201 57
102 83478 63
106 440476 8
170 233772 78
216 83316 49
229 218302 98
244 216164 13
257 231847 207
278 138091 185
298 331383 99
312 191171 181
359 344760 193
362 233863 153
382 496158 199
383 82845 169
384 76762 66
406 35780 71
412 217912 47
416 219488 1
441 126896 141
452 63394 69
453 130394 40
477 421889 79
478 30198 119
491 377718 42
498 445528 30
504 368826 179
513 170311 8
520 113604 200
527 404491 75
529 334282 70
552 383164 158
554 37878 10
557 463402 69
560 101297 27
561 353590 119
578 27264 168
581 63844 75
583 71307 101
596 372546 85
600 328716 93
608 105320 37
609 385008 183
617 418434 50
627 311890 153
632 171831 202
660 379552 65
664 107848 212
682 315533 53
705 33600 111
707 290279 129
722 355540 183
740 429627 142
784 190777 149
795 148708 89
797 190980 145
799 312578 41
816 380425 121
842 460242 52
865 167129 174
875 148316 133
876 21282 41
879 164719 182
912 40476 203
923 260782 130
983 235685 178
1018 135302 101
1027 95656 79
1031 349626 65
1044 292505 201
1048 181052 105
1057 74131 120
1069 364473 49
1072 314978 28
1090 281494 155
1091 63101 179
1123 118332 174
1153 305822 99
1171 481844 170
1176 279375 210
1218 174883 106
1225 36863 71
1234 167116 89
1239 107260 33
1242 276906 81
1301 425131 100
1317 163343 45
1322 297218 157
1329 6971 83
1348 248374 149
1362 187788 27
1374 241420 213
1387 369806 44
1392 351198 113
1434 302317 29
1438 376320 116
1441 134548 143
1479 315491 19
1500 50189 157
1503 221274 45
1511 93746 159
1513 5490 173
1527 342748 136
1533 401444 49
1558 400084 203
1559 255846 202
1563 232223 106
1571 158736 170
1582 342001 165
1588 209788 181
1592 395843 109
1629 233626 141
1636 309950 99
1654 416282 125
1662 120724 78
1663 461167 109
1670 251202 189
1675 126693 92
1676 109706 43
1689 385354 153
1710 202184 27
1739 256983 135
1750 484447 111
1754 448514 149
1771 249284 134
1779 342600 199
1818 379331 193
1826 62321 203
1837 128194 41
1847 439168 189
1858 65970 64
1862 82876 179
1863 454822 54
1871 156828 14
1905 280190 21
1961 114918 157
1963 166914 69
1975 171768 174
1980 28218 155
1982 371768 153
1984 481142 19
2007 160788 28
2015 54142 141
2018 488866 181
2020 384580 208
2033 469278 87
2049 416279 129
2062 393710 137
2077 202942 26
2078 414297 191
2088 209521 8
2089 139116 67
2094 34101 139
2102 280720 131
2111 346079 21
2118 262770 56
2125 147120 204
2131 72382 40
2140 434814 123
2158 212040 96
2160 417840 103
2166 138766 178
2172 133754 32
2175 258936 93
2200 7310 98
2272 488547 66
2277 108548 188
2279 194258 71
2282 493326 73
2292 482082 40
2309 442208 215
2324 202292 120
